Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000162054672351965,0.0495949934981655,0.123001776586946,0,0,0,21.5288238970587,0.454358398448651,0.000473772825612187,2.95148274357809E-05,0.331958685950884,-0.00566130840497637,0.73013765984204,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/base_link.STL,,底座+旋轉台-ASM-001-1/215H-转向器-106-88-2/215H-转向器-106-88.STEP-2/215H右.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J1,-0.0603541831679253,0.258704060751816,-0.000969190157743438,0,0,0,53.9719618325615,1.70398365645003,-0.00338718972975684,-0.000770567077376284,0.579116862993089,-0.0679655694994835,1.57065492670546,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J1.STL,,手-ASM-007-07-調動作-1/手腕-掌段-搖-下段內結構-AMS-007-1/手腕-搖擺-內結構007-1,J1,Axis_J1,J1,revolute,0,0,0.267,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
J2,0.0855217124773731,0.373235062034317,0.0315732771170133,0,0,0,41.359901272997,0.646598342545983,0.00725765787379437,-0.000409356278832458,0.310009425369267,0.0887613859985803,0.649813903413905,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J2.STL,,手-ASM-007-07-調動作-1/RSN160-手腕段聯桿-007-ASM-001-1/RSN160-手腕段聯桿-007-1;手-ASM-007-07-調動作-1/RSN160-手腕段聯桿-007--001-ASM-001-1/RSN160-手腕段聯桿-007-001-1;手-ASM-007-07-調動作-1/手腕-掌段-搖-內結構-AMS-007-1/中指手腕段-搖擺-內結構007-1,J2,Axis_J2,J2,revolute,0.0235,0.25,0,3.1416,0,3.1416,J1,-1,0,0,0,0,0,0,,,,,,,,
J3,0.0397853851770521,0.689164700094247,-0.0590258484876579,0,0,0,83.0154089780717,2.61029498539962,-0.0642451708552979,0.0181007715715592,0.34801715793667,-0.0299089625027216,2.64548700828987,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/J3.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/中指掌段-搖-內結構-AMS-007-1/中指掌段-後段-中段-指尖-內結構-AMS-007-1/中指掌段-搖擺-手腕-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指掌段-搖-內結構-AMS-007-1/無名指掌段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指掌段-搖-內結構-AMS-007-1/小指掌段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/食指掌段-搖-內結構-AMS-007-1/食指掌段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/大拇指掌段-搖擺-手腕-內結構007-1,J3,Axis_J3,J3,revolute,0.0235000000000002,0.5,0.0450000000000001,3.14159265358979,-1.5707963267949,0,J2,-1,0,0,0,0,0,0,,,,,,,,
44,0.0235804424800037,0.0995064625218145,0.0440884450905126,0,0,0,0.601730479755884,0.00130809106003844,9.31756207818538E-06,4.98667220198601E-06,0.000848370282751268,-0.000427416158804759,0.000877126769346819,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/44.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/44.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小.無名.食指後段-搖擺-軸心-內結構007-ASM-001-1/小.無名.食指後段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-小指-聯桿-007-ASM-002-1/eRob90-小指-聯桿-007-001-1,44,Axis_44,44,revolute,-0.387872102027654,0.999806552037383,0.103691479774955,2.34168598125918,0.765281674627553,-2.99413090070427,J3,-1,0,0,0,0,0,0,,,,,,,,
43,-0.000920378322012638,0.191952409524569,-9.53778877312017E-06,0,0,0,0.9826000337601,0.0151893810686327,-0.000497853915455481,2.67839853659683E-08,0.000675934354285286,-1.16509671549674E-06,0.0146477533675474,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/43.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/43.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小指指尖段+中段+後段重量評估-ASM-007-1/小指後段內結構007-1,43,Axis_43,43,revolute,-0.00479999995492499,0.158808388985254,0.0629062848720496,1.5707963267949,-1.08558565747861,-1.5707963267949,44,1,0,0,0,0,0,0,,,,,,,,
42,0.00450486603662237,0.137197568248204,-1.29125286574272E-08,0,0,0,0.466934387198078,0.00320932972831658,-0.000291368687908495,-5.78449020453842E-11,0.000285868868736747,1.94195393937052E-10,0.00302614008485671,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/42.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/42.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小指指尖段+中段+後段重量評估-ASM-007-1/小指指尖段+中段重量評估-ASM-007-1/小指中段內結構007-001-2,42,Axis_42,42,revolute,0.000499999912289995,0.411,0,0,0,0,43,-1,0,0,0,0,0,0,,,,,,,,
41,-0.00503006610120627,0.142315521477699,2.02094333767722E-08,0,0,0,0.228674551880057,0.00257593192144187,5.52911190034121E-06,1.14642260528458E-11,7.78710640966879E-05,-2.31678912653802E-10,0.00250092383205119,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/41.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/41.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/小指指尖+中段+後段+搖擺段重量評估-ASM-007-1/小指指尖段+中段+後段重量評估-ASM-007-1/小指指尖段+中段重量評估-ASM-007-1/小指指尖段重量評估-ASM-007-1/小指.無名指.食指指尖內結構007-1,41,Axis_41,41,revolute,0.013,0.279,0,0,0,0,42,1,0,0,0,0,0,0,,,,,,,,
34,0.0234472767582609,0.106354146551779,0.0271426118622773,0,0,0,0.5848704637547,0.00124681062934242,1.05678683000887E-05,6.03069227929224E-08,0.000469904967599495,-0.000284161753120328,0.00119388611469227,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/34.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/34.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指指尖段+中段+後段+搖重量評估-ASM-007-1/小.無名.食指後段-搖擺-軸心-內結構007-ASM-001-1/小.無名.食指後段-搖擺-內結構007-1;手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/eRob90-無名指-聯桿-007-ASM-001-1/eRob90-無名指-聯桿-007-001-1,34,Axis_34,34,revolute,-0.145553336451425,1.10733987562554,-0.0621192328845845,2.67703643748493,1.2077198834197,-3.10822377014945,J3,-1,0,0,0,0,0,0,,,,,,,,
33,-0.000713163653423443,0.263769432054027,-7.45236368998592E-06,0,0,0,1.31712008748802,0.035958565277887,-0.000726505496456917,2.7135532000306E-07,0.000934016974753022,1.88777102364451E-05,0.0352084511271497,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/33.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://luxuryhand_urdf_0917/meshes/33.STL,,手-ASM-007-07-調動作-1/手-ASM-007-02-調動作-1/無名指指尖段+中段+後段+搖重量評估-ASM-007-1/無名指指尖+中段+後段段重量評估-ASM-007-1/無名.食指後段內結構007-1,33,Axis_33,33,revolute,-0.00479999995492517,0.163737247319439,0.0193720679030269,-1.57079632679284,-1.57031143397797,1.57079632679272,34,1,0,0,0,0,0,0,,,,,,,,
